julianHr,MSky,MIllm,TIllm,tempc1,windmps1,rainmm1,vism1
430367,,,,-0.386914557299901,-0.117202390829997,0.887017167224369,-2.37723041913917
430368,,,,-0.555815917563548,-0.710573245005256,0.460461043777475,-1.20376406386979
430369,,,,-0.605233589726369,-1.10477918164143,0.13413240511445,-0.808244263126005
430370,,,,-0.65702331473574,-1.36354651604602,1.06861273358889,-2.82335281170279
430371,,,,-0.594601959613825,-1.23334506085039,1.67061124032567,-3.72049703367905
430372,,,,-0.637386941507574,-0.950197701533137,1.26342584946775,-1.27900895646505
430373,,,,-0.63640253445466,-1.30062482548118,1.26078544891935,-3.12688269975476
430374,,,,-0.62402585555463,-1.59372182283571,1.22576844977302,-3.33877666133959
430375,,,,-0.612340196132331,-1.35199094347901,1.50062264470861,-3.53824134427195
430376,,,,-0.594579941152705,-0.743368608758624,1.83348995910113,-3.37038887292813
430377,,,,-0.624187283506099,-0.402658564703347,0.489135133161531,-1.06104246054315
430378,,,,-0.735140013340255,-0.732451788763339,0.0340596465104327,-0.182954745856403
430379,,,,-0.729487532602241,-1.14555195747972,-0.0782770592325624,-0.420114557629918
430380,,,,-0.745165669031704,-1.37332660506078,0.796803714200697,-2.59863038357715
430381,,,,-0.799583310354786,-1.26603839882941,0.8381286064038,-2.49968735286197
430382,,,,-0.786970237710761,-1.18919149925183,0.320782583793295,-1.32165098510453
430383,,,,-0.83882566134119,-1.2778134698614,0.19705721108443,-0.637075263110232
430384,,,,-0.749220444533266,-1.18267319432664,0.81954942639357,-2.61682200967803
430385,,,,-0.643871908464028,-1.35767659361507,0.767979340434081,-1.90741860940967
430386,,,,-0.501726272525725,-0.913317310292961,1.32589217880852,-3.0331222988344
430387,,,,-0.516056446549023,-0.628524695750802,1.40296727441269,-3.38121422547685
430388,,,,-0.395652948822968,0.651094164695789,1.29372612015174,-3.02250165796011
430389,,,,-0.40693819549852,0.702716768971771,0.528019476343718,-0.33221610296551
430390,,,,-0.420967740007928,1.2434719374127,0.871128292866538,-2.12907962820578
430391,,,,-0.47150940227354,0.788911190084186,1.04375131612658,-2.2314574289325
430392,,,,-0.648750340215852,0.615175594724242,0.0755454764818156,-0.199498921558033
430393,,,,-0.907386483204605,-0.18310581042871,0.0328448837815135,-0.14630087102451
430394,,,,-0.89377833302346,0.262005446181996,0.0544080847582476,-0.265876709459907
430395,,,,-1.1060907941138,-0.455326004383632,-0.0228861180875545,0.0170762098064714
430396,,,,-1.11006067376984,-0.302475898022291,-0.0149909298055524,-0.0136278897632612
430397,,,,-1.19911492974759,-0.382843586111566,0.00544410719614702,-0.0619601021936925
430398,,,,-1.26741791429253,-0.0801234583011956,-0.0204687864664159,-0.0347533377839183
430399,,,,-1.38035861179723,-0.733024366445867,0.308916094133421,-0.844950489207013
430400,,,,-1.49072072268859,-1.30439097288128,-0.173855855063659,0.395527383315343
430401,,,,-1.55989074235373,-0.910804335420004,-0.163161780132692,0.3166230704339
430402,,,,-1.60570771008625,-0.688069428231087,-0.113746029326992,0.140072872799232
430403,,,,-1.64532800783573,0.0930830445243469,-0.158044732773254,0.214407886584412
430404,,,,-1.75934851588331,-0.247394381812118,-0.205146055143115,0.329093324321448
430405,,,,-1.76588262580246,-0.438992199095105,-0.180027290057014,0.284710087242359
430406,,,,-1.64259630647168,0.523307416375683,0.355043540078777,-1.24356375907314
430407,,,,-1.60229418871504,0.406582466682717,-0.0986142233911914,-0.0439255032586239
430408,,,,-1.40013272904008,-0.0884567887540788,0.341874336146037,-0.582459763137659
430409,,,,-1.27194752818654,-0.373056820109293,0.755122798756435,-1.62043306616727
430410,,,,-1.25134455152727,-0.280111045396563,0.224790766271075,-0.179299491689414
430411,,,,-1.22452430289424,-0.731337841162111,0.38051137814135,-0.596514133473522
430412,,,,-1.19777477208307,-0.971114241472501,0.142381139508291,-0.203925366668517
430413,,,,-1.18311986908998,-0.399051117815037,-0.1737088831989,0.314355487209299
430414,,,,-1.19325779043789,-0.0456653535977581,-0.256939438646316,0.455741434700976
430415,,,,-1.19960507701708,0.462440921944627,-0.19661382363563,0.316932048665236
430416,,,,-1.28444091249914,0.318340414994871,0.0226331854860449,-0.245477181162362
430417,,,,-1.44455189225804,-0.556726653900985,-0.145290557748093,0.215915308806602
430418,,,,-1.54927045513523,-1.00001839179925,-0.0314269633768233,-0.132599627273687
430419,,,,-1.49672467744625,-0.512723641641019,0.0262239068347644,0.0603207820639923
430420,,,,-1.51911043405726,-0.765651569822387,-0.045525656383365,-0.162835415376587
430421,,,,-1.6924271106867,-1.12936720082045,-0.119981757175618,-0.28442814158051
430422,,,,-1.65964478475397,-1.01811521583179,0.659990962711642,-2.52666574972311
430423,,,,-1.68502049243804,-1.17506623521752,0.41779395102595,-1.78988487286497
430424,,,,-1.74381176155868,-0.907210508939517,0.0177633277671254,-0.630883177256737
430425,,,,-1.71777915412421,-1.10536280737701,0.467540032884126,-1.48165140088779
430426,,,,-1.8443887110172,-0.751536796018487,0.846988510277465,-2.24993861285849
430427,,,,-1.81700428897652,0.824832308095967,0.371376415365156,-1.07244813136111
430428,,,,-1.90325996732692,0.892546517418828,0.161636816463813,-0.641514595544279
430429,,,,-2.02261000205303,1.13262073200391,-0.0869860007039467,-0.140414655293551
430430,,,,-2.24037687641364,0.0504810613072019,-0.222525852977942,0.280788392598036
430431,,,,-2.05118821268905,0.237518397551314,-0.257115655639569,0.458764076463405
430432,,,,-2.00630391298879,-0.843191666630559,-0.244012049219106,0.431672548840944
430433,,,,-1.78521181237473,-0.333160212884522,-0.200001291056203,0.391433582585222
430434,,,,-1.58266272752174,-0.689897409713599,-0.238310262186569,0.479942029325872
